m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
100.0,0.0031622776601683794,0.000630957344480193,4.2111108404406685e-15,54.12540129393349
100.0,0.005623413251903491,0.0001,1.6706671865203315e-17,1.306911370377995
100.0,0.005623413251903491,0.00015848931924611142,6.651045865621818e-17,3.28281293843808
100.0,0.005623413251903491,0.00025118864315095795,2.6478290507842323e-16,8.246053277246697
100.0,0.005623413251903491,0.00039810717055349735,1.0541197315170646e-15,20.713149340621104
100.0,0.005623413251903491,0.000630957344480193,4.1965262373886995e-15,52.02907878253768
100.0,0.01,0.0001,1.6610839929080252e-17,1.2542541296537686
100.0,0.01,0.00015848931924611142,6.612894484683201e-17,3.1505439299421614
100.0,0.01,0.00025118864315095795,2.6326407124660516e-16,7.913808549496574
100.0,0.01,0.00039810717055349735,1.0480731451238043e-15,19.878588317044976
100.0,0.01,0.000630957344480193,4.172454343383418e-15,49.93275627115006
100.0,0.01778279410038923,0.0001,1.6451984989096397e-17,1.2015968889301665
100.0,0.01778279410038923,0.00015848931924611142,6.549653193997783e-17,3.0182749214478117
100.0,0.01778279410038923,0.00025118864315095795,2.6074639011691284e-16,7.581563821750392
100.0,0.01778279410038923,0.00039810717055349735,1.038050076014827e-15,19.044027293478745
100.0,0.01778279410038923,0.000630957344480193,4.132551786551047e-15,47.836433759787305
100.0,0.03162277660168379,0.0001,1.6204222491854282e-17,1.1489396482084573
100.0,0.03162277660168379,0.00015848931924611142,6.451017167251456e-17,2.886005912958216
100.0,0.03162277660168379,0.00025118864315095795,2.568196191646509e-16,7.249319094016152
100.0,0.03162277660168379,0.00039810717055349735,1.0224173192826602e-15,18.20946626994251
100.0,0.03162277660168379,0.000630957344480193,4.070316661045107e-15,45.7401112484999
100.0,0.05623413251903491,0.0001,1.5814091616248598e-17,1.0962824074924735
100.0,0.05623413251903491,0.00015848931924611142,6.295703268218519e-17,2.753736904483003
100.0,0.05623413251903491,0.00025118864315095795,2.5063646147548747e-16,6.9170743663180385
100.0,0.05623413251903491,0.00039810717055349735,9.97801725155471e-16,17.374905246497026
100.0,0.05623413251903491,0.000630957344480193,3.97232021575042e-15,43.64378873744044
100.0,0.1,0.0001,1.5184968623438577e-17,1.043625166793776
100.0,0.1,0.00015848931924611142,6.045244893620774e-17,2.62146789605121
100.0,0.1,0.00025118864315095795,2.4066553399023387e-16,6.584829638728992
100.0,0.1,0.00039810717055349735,9.581067478659866e-16,16.5403442233255
100.0,0.1,0.000630957344480193,3.814291664811402e-15,41.54746622706914
100.0,0.1778279410038923,0.0001,1.4253607118037754e-17,0.990967926147146
100.0,0.1778279410038923,0.00015848931924611142,5.674463199943206e-17,2.489198887750206
100.0,0.1778279410038923,0.00025118864315095795,2.259044488939329e-16,6.252584911468472
100.0,0.1778279410038923,0.00039810717055349735,8.993418096461087e-16,15.7057832009792
100.0,0.1778279410038923,0.000630957344480193,3.580344231986735e-15,39.451143718770695
100.0,0.1778279410038923,0.001,1.4253607118037752e-14,99.0967926147146
100.0,0.31622776601683794,0.0001,1.2911598035342053e-17,0.9383106856569635
100.0,0.31622776601683794,0.00015848931924611142,5.140199761174125e-17,2.3569298798421796
100.0,0.31622776601683794,0.00025118864315095795,2.0463503830007892e-16,5.920340185195068
100.0,0.31622776601683794,0.00039810717055349735,8.146667609375108e-16,14.871222181112419
100.0,0.31622776601683794,0.000630957344480193,3.243246791408141e-15,37.354821216700536
100.0,0.31622776601683794,0.001,1.2911598035342052e-14,93.83106856569636
100.0,0.5623413251903491,0.0001,1.0940555535846406e-17,0.8856534456355624
100.0,0.5623413251903491,0.00015848931924611142,4.355513608659219e-17,2.2246608731116786
100.0,0.5623413251903491,0.00025118864315095795,1.7339611990505704e-16,5.588095461879473
100.0,0.5623413251903491,0.00039810717055349735,6.90302386803573e-16,14.036661168675323
100.0,0.5623413251903491,0.000630957344480193,2.7481433003669575e-15,35.2584987332929
100.0,0.5623413251903491,0.001,1.0940555535846406e-14,88.56534456355624
100.0,1.0,0.0001,8.451993832537679e-18,0.8329962070145212
100.0,1.0,0.00015848931924611142,3.364799350207189e-17,2.0923918698987225
100.0,1.0,0.00025118864315095795,1.3395507487912273e-16,5.255850747399553
100.0,1.0,0.00039810717055349735,5.332847584140948e-16,13.202100178432435
100.0,1.0,0.000630957344480193,2.1230448627154022e-15,33.162176305634596
